id,age,gender,race,ethnicity,time,feedback
1,58,Female,White,Non-Hispanic,1327,"Some things cannot be changed, like your age or your race. Other things can be changed, but it is difficult, like loving art or music. Some things can totally be controlled, such as speeding or picking up a gun."
2,23,Female,White,Non-Hispanic,1276,Some factors are factors you were born with and/or factors which cannot be changed. Other factors dealing with personality are less over you control but still can be controlled. Factors about how you respond to things or career path are completely up to you and you have 100% control over that.
3,35,Male,White,Non-Hispanic,707,NA
4,75,Male,White,NA,1785,"I closely considered ""culpability"" regarding the protagonists of the anecdotes."
5,19,Female,White,Non-Hispanic,1391,Mainly age and the situation.
6,38,Male,White,Non-Hispanic,1450,NA
7,68,Male,White,Non-Hispanic,1206,none
8,28,Female,White,Non-Hispanic,1077,People's awareness and/or mental state influenced how I responded
9,50,Female,White,Non-Hispanic,1501,PEOPLE CAN CHANGE THEIR SEX SO I PUT A LITTLE CONTROL.... EVERYTHING ELSE PRETTY MUCH HAD TO DO WITH A DECISION THE PERSON COULD WILLING MAKE A CHOICE.
10,49,Female,White,Non-Hispanic,963,"If there were factors that were outside of a person's control, such as time or genetics, I rated the issue as less controlled. I also tried to put myself in the shoes of the person in question."
11,49,Female,White,Non-Hispanic,2448,I decided physical things are not controlled while hobbies and things are
12,58,Female,White,Non-Hispanic,1004,I thought about the situations in each of the stories and went from there.
13,76,Male,White,Non-Hispanic,1835,the way my heart felt about the situation
14,43,Female,White,Non-Hispanic,768,"physical properties like age, gender or medical conditions are nothing people have control over.  Actions or behaviors are something under our control."
15,18,Male,White,Non-Hispanic,780,I think that rationality of the expressions influenced my responses.
16,27,Female,White,Non-Hispanic,1139,NA
17,59,Male,White,Non-Hispanic,3588,Great survey
18,32,Male,White,Non-Hispanic,1122,"I just feel like people really have no control over their race, age, sex, I mean sex you can consider surgery but naturally, people have no control which sex they want to be born. So other than that, I think the personality can be changed based on how people want to deal with things and other people, then the behaviors can also be controlled depends on what result they want, unless there is some obstacle that blocks them from achieving the goal"
19,34,Male,White,Non-Hispanic,2162,Nothing special
20,50,Male,White,Non-Hispanic,2544,The irresponsible behaviors that could have been handled differently.
21,61,Female,NA,Non-Hispanic,1129,Whether the things were things that they could control or things that were not in their control
22,61,Female,White,Non-Hispanic,2095,I responded based upon the information given.
23,39,Female,White,Non-Hispanic,1841,"No, it was fairly straightforward"
24,69,Female,Black/African American,Non-Hispanic,2142,Each scenario seemed to end with a bad twist.
25,26,Male,Asian,NA,1512,The type of person and personality they have.
26,60,Female,White,Non-Hispanic,1136,NA
27,45,Female,White,Hispanic,1995,some actions or outcomes could have been prevented with self control
28,30,Male,Black/African American,Non-Hispanic,892,whether a person's daily life choices influenced their actions/traits
29,65,Female,White,Non-Hispanic,1205,Mostly the story narrative
30,21,Male,White,Non-Hispanic,1378,"If it was about factors that are natural like age or race, then you don't have control over that and I answered accordingly. When to comes to how you feel or about things you're interested in it's a little tough. On one hand you can't really help and like the things that you like. On the other though you kind of can, or at least determine how much time and effort you're going to spend on such things."
31,75,Female,Black/African American,Non-Hispanic,1193,NA
32,35,Female,Asian,Hispanic,1876,"The factors that played a role were weather it was a choice or influenced by an outside factor. There were a lot of grey areas, though!"
33,39,Male,Black/African American,Non-Hispanic,959,The different factors of the situation the person was in and their lifestyle.
34,54,Female,White,Non-Hispanic,1105,I don't know
35,37,Male,White,Non-Hispanic,1298,I tried to think about how much control over the specific traits the person in the story had.
36,22,Male,White,Non-Hispanic,1098,NA
37,42,Female,White,Non-Hispanic,1526,"Not sure how to answer this. Biological markers obviously cannot be helped. Hobbies and enjoyments were in the middle, because they could be changed, if someone wanted to change it. Actions, typically, are things people have control over."
38,47,Non-binary,White,Non-Hispanic,970,"I really just tried to focus on whether or not any given action was a conscious choice, or an involuntary reaction. In most cases, I didn't take age, race, or gender into account."
39,38,Male,Black/African American,Non-Hispanic,3396,some situations I rated lower control if the person acted out of self defense.
40,63,Male,White,Non-Hispanic,994,Circumstances
41,39,Female,American Indian/Alaska Native,Hispanic,2141,I tried to be as objective as possible when answering.
42,52,Female,White,Non-Hispanic,1232,"I tried to consider whether the person actually had any control over the item - unfortunately, I'm a bit older and did not consider trans people when answering if they could control their gender; I remembered about halfway through that adults do have some control over their gender identity and changed my answers then to reflect that, but the 10 year old did not have control over gender regardless."
43,35,Female,White,Non-Hispanic,3884,The study is very clear and understandable
44,41,Female,White,Non-Hispanic,1462,none
45,40,Female,White,Non-Hispanic,1705,"I just considered is something was biological or a response to a situation.  Someone can't control their race or ethnicity, gender, or age.  They can control the activities in which they engage and how they chose to react to a situation.  Someone who has undergone trauma and suffers from PTSD can't always control how they will respond during a situation."
46,33,Male,other_race,Non-Hispanic,1157,I tried to gauge how much control the person would have had. I have no other comments.
47,23,Female,other_race,Hispanic,1255,NA
48,30,Male,White,Non-Hispanic,1514,I just responded to how I thought the outcome would be if they had control over items or it was randomized
49,32,Male,White,Non-Hispanic,1290,"I considered the facts and tried to objectively consider whether a person had control over what was asked. Some things like Ava listening to the radio, which I don't believe was mentioned in the story, I still responded that she technically still had full control over whether she listened to it."
50,37,Male,Black/African American,Hispanic,1229,"Things that werent attributes they were born with, I judges as having some level of control. No further comments in regards to the survey."
51,41,Male,White,Non-Hispanic,1350,"I just thought of what people have control over in general as far as hobbies, jobs and preferences."
