id,story,story_order,attention,feature,feature_order,response
1,Ava,1,1,being female,1,1
1,Ava,1,1,having a peanut allergy,2,1
1,Ava,1,1,being Native American,3,1
1,Ava,1,1,being an artist,4,7
1,Ava,1,1,being friends with Peter for many years,5,5
1,Ava,1,1,enjoying going to music concerts,6,4
1,Ava,1,1,regularly drinking coffee,7,7
1,Ava,1,1,being 26 years old,8,1
1,Ava,1,1,often driving Peter to appointments and errands,9,7
1,Ava,1,1,being a compassionate person,10,7
1,Ava,1,1,doing her annual car maintenance,11,7
1,Ava,1,1,driving under the speed limit,12,7
1,Ava,1,1,listening to the radio while driving,13,7
1,Ava,1,1,being startled by the deer,14,1
1,Ava,1,1,slamming the brakes after seeing the deer,15,3
1,Flora,2,1,using a white cane to guide herself,1,1
1,Flora,2,1,being female,2,1
1,Flora,2,1,being a counselor,3,7
1,Flora,2,1,enjoying gardening,4,7
1,Flora,2,1,being an early riser,5,5
1,Flora,2,1,being Asian,6,1
1,Flora,2,1,being legally blind,7,1
1,Flora,2,1,being 32 years old,8,1
1,Flora,2,1,being an empathetic person,9,7
1,Flora,2,1,composing music in her free time,10,7
1,Flora,2,1,going to a neighbor's house for dinner,11,7
1,Flora,2,1,using her white cane while walking home,12,1
1,Flora,2,1,not calling for help,13,4
1,Flora,2,1,her white cane slipping between Paul's legs,14,1
1,Flora,2,1,stepping on Paul's torso,15,1
1,Darla,3,0,enjoying cooking,1,4
1,Darla,3,0,being nearsighted,2,1
1,Darla,3,0,working with Pamela for many years,3,7
1,Darla,3,0,running a home daycare business,4,7
1,Darla,3,0,being Black,5,1
1,Darla,3,0,being 32 years old,6,1
1,Darla,3,0,communicating and interacting well with children,7,4
1,Darla,3,0,having an absent-minded personality,8,3
1,Darla,3,0,being female,9,1
1,Darla,3,0,having a laid-back personality,10,3
1,Darla,3,0,living in a tornado-affected area,11,7
1,Darla,3,0,playing games with the children,12,7
1,Darla,3,0,playing loud upbeat music with the children,13,7
1,Darla,3,0,focusing on the children,14,7
1,Darla,3,0,not hearing the tornado sirens,15,3
1,Julia,4,0,studying psychology,1,7
1,Julia,4,0,being a college student,2,7
1,Julia,4,0,being sensitive sometimes,3,2
1,Julia,4,0,enjoying watching TV shows,4,6
1,Julia,4,0,being female,5,1
1,Julia,4,0,being 19 years old,6,1
1,Julia,4,0,having asthma,7,1
1,Julia,4,0,being multiracial,8,1
1,Julia,4,0,being a courteous person,9,7
1,Julia,4,0,babysitting on the weekends,10,7
1,Julia,4,0,reading children's books with Benji,11,7
1,Julia,4,0,picking up her partner's call while filling the bathtub,12,7
1,Julia,4,0,feeling hurt after learning about the cheating,13,5
1,Julia,4,0,leaving the bathroom to talk to her partner,14,7
1,Julia,4,0,sitting for a few minutes after hanging up,15,7
1,Edward,5,1,enjoying reading science fiction,1,7
1,Edward,5,1,being an experienced driver,2,5
1,Edward,5,1,being a studious person,3,7
1,Edward,5,1,being male,4,1
1,Edward,5,1,enjoying browsing Twitter,5,7
1,Edward,5,1,being a clinical research assistant,6,7
1,Edward,5,1,being 24 years old,7,1
1,Edward,5,1,being an ambitious person,8,7
1,Edward,5,1,being single,9,5
1,Edward,5,1,being White,10,1
1,Edward,5,1,not muting phone notifications while driving,11,7
1,Edward,5,1,not speeding,12,7
1,Edward,5,1,checking that there were no other cars nearby,13,7
1,Edward,5,1,taking a peek at the text,14,7
1,Edward,5,1,veering into the cyclist while reading the text,15,6
1,Qian,6,0,not smoking,1,7
1,Qian,6,0,being stubborn sometimes,2,4
1,Qian,6,0,being male,3,1
1,Qian,6,0,being hard-working,4,7
1,Qian,6,0,being a restaurant waiter,5,7
1,Qian,6,0,enjoying watching sports,6,6
1,Qian,6,0,being Asian,7,1
1,Qian,6,0,being 27 years old,8,1
1,Qian,6,0,enjoying jazz music,9,3
1,Qian,6,0,having a humorous personality,10,4
1,Qian,6,0,hanging out at the local bar with cousins,11,7
1,Qian,6,0,having several drinks over the course of two hours,12,7
1,Qian,6,0,being angered by Wilson's comments,13,3
1,Qian,6,0,not talking back to Wilson,14,7
1,Qian,6,0,pushing Wilson to the ground,15,7
1,Alfred,7,1,being 68 years old,1,1
1,Alfred,7,1,being a veteran,2,5
1,Alfred,7,1,enjoying fishing,3,5
1,Alfred,7,1,being White,4,1
1,Alfred,7,1,having PTSD,5,1
1,Alfred,7,1,being patriotic,6,6
1,Alfred,7,1,having a calm personality,7,5
1,Alfred,7,1,living alone,8,4
1,Alfred,7,1,being male,9,1
1,Alfred,7,1,enjoying Italian cuisine,10,3
1,Alfred,7,1,taking the subway home,11,6
1,Alfred,7,1,being quiet on the subway,12,4
1,Alfred,7,1,getting off at the same stop as Oliver,13,1
1,Alfred,7,1,hearing loud drilling and yelling from the construction above,14,1
1,Alfred,7,1,physically attacking Oliver,15,5
1,Tristan,8,1,being opinionated sometimes,1,6
1,Tristan,8,1,having worked for over ten years at the same hospital,2,7
1,Tristan,8,1,being 43 years old,3,1
1,Tristan,8,1,being impatient sometimes,4,4
1,Tristan,8,1,being male,5,1
1,Tristan,8,1,being a cardiologist,6,7
1,Tristan,8,1,being Black,7,1
1,Tristan,8,1,enjoying listening to country music,8,3
1,Tristan,8,1,being extroverted and outgoing,9,3
1,Tristan,8,1,being Christian,10,6
1,Tristan,8,1,reviewing Annie's medical history and symptoms,11,7
1,Tristan,8,1,checking Annie's vitals,12,7
1,Tristan,8,1,ordering Annie an electrocardiogram (ECG/EKG),13,7
1,Tristan,8,1,not ordering any other heart tests,14,7
1,Tristan,8,1,not ordering a mammogram,15,7
1,Chris,9,1,being 10 years old,1,1
1,Chris,9,1,having a curious personality,2,2
1,Chris,9,1,having an average IQ,3,1
1,Chris,9,1,being male,4,1
1,Chris,9,1,being White,5,1
1,Chris,9,1,weighing 70 lbs,6,1
1,Chris,9,1,enjoying playing hide-and-seek,7,4
1,Chris,9,1,enjoying swimming,8,4
1,Chris,9,1,admiring his father,9,4
1,Chris,9,1,being a picky eater,10,3
1,Chris,9,1,inviting friends over to play,11,7
1,Chris,9,1,hiding in the hall closet,12,7
1,Chris,9,1,finding the key in his father's jacket pocket,13,1
1,Chris,9,1,opening the gun cabinet with the key,14,7
1,Chris,9,1,picking up a pistol to play with,15,7
1,Melvin,10,1,being stingy sometimes,1,6
1,Melvin,10,1,being 45 years old,2,1
1,Melvin,10,1,having a cheerful personality,3,4
1,Melvin,10,1,being male,4,1
1,Melvin,10,1,growing corn,5,7
1,Melvin,10,1,enjoying listening to rock music,6,6
1,Melvin,10,1,being White,7,1
1,Melvin,10,1,growing hay,8,7
1,Melvin,10,1,having high blood pressure,9,2
1,Melvin,10,1,being a farmer,10,7
1,Melvin,10,1,building his barn near the border with Vincent's property,11,4
1,Melvin,10,1,being concerned with hayfires,12,7
1,Melvin,10,1,considering buying hay-drying equipment,13,7
1,Melvin,10,1,meeting with consultants,14,7
1,Melvin,10,1,deciding not to buy hay-drying equipment,15,7
1,Nadia,11,0,collecting vinyl records,1,7
1,Nadia,11,0,being female,2,1
1,Nadia,11,0,enjoying oil painting,3,4
1,Nadia,11,0,being 34 years old,4,1
1,Nadia,11,0,attending couples therapy years ago,5,7
1,Nadia,11,0,being an organized person,6,7
1,Nadia,11,0,being a timid person,7,2
1,Nadia,11,0,being a software engineer,8,7
1,Nadia,11,0,being White,9,1
1,Nadia,11,0,having red hair,10,1
1,Nadia,11,0,going to the emergency room for bruises,11,3
1,Nadia,11,0,not seeking help after the emergency room incident,12,6
1,Nadia,11,0,being scared when Franklin screamed,13,2
1,Nadia,11,0,grabbing the revolver,14,7
1,Nadia,11,0,shooting Franklin with the revolver,15,7
2,Nadia,1,0,being a software engineer,1,6
2,Nadia,1,0,having red hair,2,3
2,Nadia,1,0,being 34 years old,3,1
2,Nadia,1,0,attending couples therapy years ago,4,6
2,Nadia,1,0,being female,5,1
2,Nadia,1,0,being an organized person,6,6
2,Nadia,1,0,being White,7,1
2,Nadia,1,0,being a timid person,8,2
2,Nadia,1,0,enjoying oil painting,9,4
2,Nadia,1,0,collecting vinyl records,10,6
2,Nadia,1,0,going to the emergency room for bruises,11,4
2,Nadia,1,0,not seeking help after the emergency room incident,12,6
2,Nadia,1,0,being scared when Franklin screamed,13,2
2,Nadia,1,0,grabbing the revolver,14,4
2,Nadia,1,0,shooting Franklin with the revolver,15,4
2,Julia,2,0,babysitting on the weekends,1,6
2,Julia,2,0,being female,2,1
2,Julia,2,0,being a courteous person,3,4
2,Julia,2,0,having asthma,4,4
2,Julia,2,0,being multiracial,5,1
2,Julia,2,0,being 19 years old,6,1
2,Julia,2,0,being sensitive sometimes,7,3
2,Julia,2,0,being a college student,8,6
2,Julia,2,0,studying psychology,9,6
2,Julia,2,0,enjoying watching TV shows,10,5
2,Julia,2,0,reading children's books with Benji,11,5
2,Julia,2,0,picking up her partner's call while filling the bathtub,12,7
2,Julia,2,0,feeling hurt after learning about the cheating,13,4
2,Julia,2,0,leaving the bathroom to talk to her partner,14,7
2,Julia,2,0,sitting for a few minutes after hanging up,15,7
2,Chris,3,1,being a picky eater,1,5
2,Chris,3,1,admiring his father,2,5
2,Chris,3,1,being male,3,1
2,Chris,3,1,having an average IQ,4,5
2,Chris,3,1,being White,5,1
2,Chris,3,1,being 10 years old,6,1
2,Chris,3,1,weighing 70 lbs,7,5
2,Chris,3,1,enjoying swimming,8,5
2,Chris,3,1,having a curious personality,9,4
2,Chris,3,1,enjoying playing hide-and-seek,10,5
2,Chris,3,1,inviting friends over to play,11,6
2,Chris,3,1,hiding in the hall closet,12,6
2,Chris,3,1,finding the key in his father's jacket pocket,13,4
2,Chris,3,1,opening the gun cabinet with the key,14,7
2,Chris,3,1,picking up a pistol to play with,15,7
2,Qian,4,0,being Asian,1,1
2,Qian,4,0,being male,2,1
2,Qian,4,0,being 27 years old,3,1
2,Qian,4,0,enjoying jazz music,4,5
2,Qian,4,0,being hard-working,5,6
2,Qian,4,0,having a humorous personality,6,5
2,Qian,4,0,being stubborn sometimes,7,5
2,Qian,4,0,not smoking,8,7
2,Qian,4,0,enjoying watching sports,9,6
2,Qian,4,0,being a restaurant waiter,10,7
2,Qian,4,0,hanging out at the local bar with cousins,11,7
2,Qian,4,0,having several drinks over the course of two hours,12,7
2,Qian,4,0,being angered by Wilson's comments,13,5
2,Qian,4,0,not talking back to Wilson,14,5
2,Qian,4,0,pushing Wilson to the ground,15,5
2,Tristan,5,1,being opinionated sometimes,1,5
2,Tristan,5,1,being Black,2,1
2,Tristan,5,1,enjoying listening to country music,3,5
2,Tristan,5,1,being extroverted and outgoing,4,5
2,Tristan,5,1,being Christian,5,5
2,Tristan,5,1,being impatient sometimes,6,5
2,Tristan,5,1,being 43 years old,7,1
2,Tristan,5,1,being a cardiologist,8,7
2,Tristan,5,1,having worked for over ten years at the same hospital,9,7
2,Tristan,5,1,being male,10,1
2,Tristan,5,1,reviewing Annie's medical history and symptoms,11,7
2,Tristan,5,1,checking Annie's vitals,12,7
2,Tristan,5,1,ordering Annie an electrocardiogram (ECG/EKG),13,7
2,Tristan,5,1,not ordering any other heart tests,14,7
2,Tristan,5,1,not ordering a mammogram,15,7
2,Ava,6,1,being female,1,1
2,Ava,6,1,being 26 years old,2,1
2,Ava,6,1,often driving Peter to appointments and errands,3,7
2,Ava,6,1,being friends with Peter for many years,4,7
2,Ava,6,1,being Native American,5,1
2,Ava,6,1,regularly drinking coffee,6,6
2,Ava,6,1,enjoying going to music concerts,7,6
2,Ava,6,1,having a peanut allergy,8,1
2,Ava,6,1,being an artist,9,7
2,Ava,6,1,being a compassionate person,10,5
2,Ava,6,1,doing her annual car maintenance,11,7
2,Ava,6,1,driving under the speed limit,12,6
2,Ava,6,1,listening to the radio while driving,13,6
2,Ava,6,1,being startled by the deer,14,5
2,Ava,6,1,slamming the brakes after seeing the deer,15,6
2,Alfred,7,1,being patriotic,1,5
2,Alfred,7,1,having PTSD,2,3
2,Alfred,7,1,being a veteran,3,1
2,Alfred,7,1,having a calm personality,4,4
2,Alfred,7,1,being White,5,1
2,Alfred,7,1,enjoying Italian cuisine,6,5
2,Alfred,7,1,enjoying fishing,7,5
2,Alfred,7,1,living alone,8,5
2,Alfred,7,1,being 68 years old,9,1
2,Alfred,7,1,being male,10,1
2,Alfred,7,1,taking the subway home,11,5
2,Alfred,7,1,being quiet on the subway,12,5
2,Alfred,7,1,getting off at the same stop as Oliver,13,6
2,Alfred,7,1,hearing loud drilling and yelling from the construction above,14,1
2,Alfred,7,1,physically attacking Oliver,15,6
2,Flora,8,1,enjoying gardening,1,5
2,Flora,8,1,being an empathetic person,2,5
2,Flora,8,1,composing music in her free time,3,5
2,Flora,8,1,being an early riser,4,5
2,Flora,8,1,being legally blind,5,1
2,Flora,8,1,being Asian,6,1
2,Flora,8,1,using a white cane to guide herself,7,6
2,Flora,8,1,being 32 years old,8,1
2,Flora,8,1,being a counselor,9,6
2,Flora,8,1,being female,10,1
2,Flora,8,1,going to a neighbor's house for dinner,11,7
2,Flora,8,1,using her white cane while walking home,12,7
2,Flora,8,1,not calling for help,13,6
2,Flora,8,1,her white cane slipping between Paul's legs,14,5
2,Flora,8,1,stepping on Paul's torso,15,6
2,Edward,9,1,being an experienced driver,1,6
2,Edward,9,1,being 24 years old,2,1
2,Edward,9,1,being White,3,1
2,Edward,9,1,being an ambitious person,4,5
2,Edward,9,1,enjoying browsing Twitter,5,5
2,Edward,9,1,being a studious person,6,5
2,Edward,9,1,being male,7,1
2,Edward,9,1,being single,8,6
2,Edward,9,1,enjoying reading science fiction,9,5
2,Edward,9,1,being a clinical research assistant,10,5
2,Edward,9,1,not muting phone notifications while driving,11,7
2,Edward,9,1,not speeding,12,7
2,Edward,9,1,checking that there were no other cars nearby,13,7
2,Edward,9,1,taking a peek at the text,14,7
2,Edward,9,1,veering into the cyclist while reading the text,15,7
2,Melvin,10,1,enjoying listening to rock music,1,5
2,Melvin,10,1,being 45 years old,2,1
2,Melvin,10,1,being a farmer,3,6
2,Melvin,10,1,being White,4,1
2,Melvin,10,1,being stingy sometimes,5,6
2,Melvin,10,1,having high blood pressure,6,5
2,Melvin,10,1,having a cheerful personality,7,5
2,Melvin,10,1,being male,8,1
2,Melvin,10,1,growing corn,9,7
2,Melvin,10,1,growing hay,10,7
2,Melvin,10,1,building his barn near the border with Vincent's property,11,6
2,Melvin,10,1,being concerned with hayfires,12,6
2,Melvin,10,1,considering buying hay-drying equipment,13,7
2,Melvin,10,1,meeting with consultants,14,6
2,Melvin,10,1,deciding not to buy hay-drying equipment,15,7
2,Darla,11,0,communicating and interacting well with children,1,7
2,Darla,11,0,being Black,2,1
2,Darla,11,0,working with Pamela for many years,3,7
2,Darla,11,0,enjoying cooking,4,5
2,Darla,11,0,having a laid-back personality,5,5
2,Darla,11,0,being 32 years old,6,1
2,Darla,11,0,having an absent-minded personality,7,5
2,Darla,11,0,running a home daycare business,8,7
2,Darla,11,0,being nearsighted,9,4
2,Darla,11,0,being female,10,1
2,Darla,11,0,living in a tornado-affected area,11,6
2,Darla,11,0,playing games with the children,12,6
2,Darla,11,0,playing loud upbeat music with the children,13,6
2,Darla,11,0,focusing on the children,14,6
2,Darla,11,0,not hearing the tornado sirens,15,7
3,Qian,1,0,being 27 years old,1,1
3,Qian,1,0,not smoking,2,7
3,Qian,1,0,enjoying jazz music,3,7
3,Qian,1,0,having a humorous personality,4,6
3,Qian,1,0,being stubborn sometimes,5,6
3,Qian,1,0,being hard-working,6,7
3,Qian,1,0,being a restaurant waiter,7,7
3,Qian,1,0,being Asian,8,1
3,Qian,1,0,enjoying watching sports,9,7
3,Qian,1,0,being male,10,1
3,Qian,1,0,hanging out at the local bar with cousins,11,7
3,Qian,1,0,having several drinks over the course of two hours,12,7
3,Qian,1,0,being angered by Wilson's comments,13,7
3,Qian,1,0,not talking back to Wilson,14,7
3,Qian,1,0,pushing Wilson to the ground,15,7
3,Darla,2,0,having an absent-minded personality,1,5
3,Darla,2,0,working with Pamela for many years,2,6
3,Darla,2,0,being female,3,1
3,Darla,2,0,having a laid-back personality,4,5
3,Darla,2,0,being nearsighted,5,1
3,Darla,2,0,running a home daycare business,6,7
3,Darla,2,0,communicating and interacting well with children,7,7
