id,age,gender,race,ethnicity,time,feedback
1,66,Male,White,Non-Hispanic,2290,The facts I was given
2,64,Female,White,Non-Hispanic,1869,I just took into account the most relevant factors in each story to decide my answers. The things that had more to do with the outcome of each story.
3,36,Female,White,Non-Hispanic,990,things like age/gender/race usually weren't relevant in my opinion.
4,21,Female,White,Non-Hispanic,1021,NA
5,21,Female,White,Non-Hispanic,875,if they impacted the situation or not
6,48,Male,Black/African American,Non-Hispanic,2592,I was focused on the facts being stated and not on the person's physical features.
7,21,Female,other_race,Hispanic,1607,I tried to find the information that pertained to whatever incident was listed in the scenario and rated those as highly important compared to facts that were just general information about the individual.
8,49,Male,White,Non-Hispanic,2952,I made decisions based on the comprehension.
9,28,Male,Asian,Non-Hispanic,1208,I tried my best not to generalize and answer questions objectively. I might have accidentally clicked false on one of the true false questions.
10,78,Male,White,Non-Hispanic,1049,I focused solely on the incident in the story line.
11,NA,NA,NA,NA,3382,Factors include the extent of which the persons involved was at fault.
12,39,Female,White,Non-Hispanic,1973,"I tried to just stick with the facts of the incidents to respond with. I didn't want age, sex, or race to be a factor. Just facts."
13,53,Male,White,Non-Hispanic,1404,I took into account the facts of the story and there bearing on the outcome
14,33,Female,Black/African American,Non-Hispanic,1166,NA
15,25,Female,White,Non-Hispanic,1580,"the parts that could have been excluded from the story, and still have the same outcome, were the ones that I said were the least relevant to the outcome."
16,43,Male,White,Non-Hispanic,1324,I just read the story very carefully and answered all the questions very softly.
17,42,Male,Black/African American,Non-Hispanic,2869,none
18,34,Male,White,Non-Hispanic,1562,"I tried using a ""but for"" framework to answer. Factors about an individual's identity were rarely of any relevance unless directly implicated in the scenario. I considered age in some cases because of lack of experience."
19,34,Male,Black/African American,Hispanic,1605,no
20,33,Female,White,Non-Hispanic,1588,"As with any situation, I feel that the things most important or relevant are things directly related to the incident, and that's how I chose to respond. In most cases, a person's race, age, or hobbies/interests aren't relevant to what ultimately happened."
21,39,Male,White,Non-Hispanic,2304,I considered which factors were truly important to the outcome.
22,49,Female,White,Non-Hispanic,931,NA
23,45,Male,White,Non-Hispanic,642,Race is relevant sometimes because it affects both IQ and impulse control.  Your dislike for this fact does not make it stop being a fact.
24,57,Male,other_race,Non-Hispanic,1894,I simply recalled important details from the stories.
25,48,Female,Black/African American,Non-Hispanic,1233,Life experience and the facts presented influenced how I decided to respond.
26,20,Male,White,Non-Hispanic,598,The biggest factor that influenced my decisions was whether or not a trait of one of these people is what specifically made them do something.
27,33,Male,White,Non-Hispanic,716,i went with a mix of my gut and mostly logic
28,29,Male,other_race,Non-Hispanic,1506,Socio/Economic
29,27,Male,Asian,Non-Hispanic,1165,NA
30,56,Male,White,Non-Hispanic,1424,what questions were asked
31,40,Female,Black/African American,Non-Hispanic,2443,responded by what I felt caused the situation 4
32,23,Male,White,Non-Hispanic,1427,I gave demographic characteristic less relevance and personality characteristics more relevance
33,34,Female,White,Non-Hispanic,1566,My honest opinion
34,31,Female,White,Hispanic,647,NA
35,52,Female,White,Non-Hispanic,871,I tried to think about the core incidents only.
36,56,Female,other_race,Hispanic,887,Facts
37,49,Female,Black/African American,Non-Hispanic,2094,NA
38,25,Male,other_race,Hispanic,1211,I based my decisions on the stories.
39,20,Male,White,Hispanic,687,NA
40,37,Female,White,Non-Hispanic,1245,I tried to select things that were relevant
41,36,Female,White,Non-Hispanic,1650,I do not feel a person's ethnic background is related with their actions
42,39,Female,White,Non-Hispanic,1406,Only factors that were directly related to the experience was what was important. Things like race are almost always irrelevant.
43,40,Male,White,Non-Hispanic,2624,"I weighed whether a person's actions were deliberate, on accident, caused by something outside their control, or caused by their own mistakes."
44,28,Female,White,Non-Hispanic,823,"I assumed that this study was gauging how people determine the factors leading up to a traumatic or otherwise injurious event. I mostly focused on which ACTIONS led to the outcome, rather than the characters' individual identity traits."
45,28,Male,White,Hispanic,2567,I tried to base it on if the event given hadnt happened then would that outcome still have been the result
46,48,Female,White,Non-Hispanic,726,"mostly the negligence, not the ethnicity"
47,28,Female,Asian,Non-Hispanic,856,I based my responses on what factors caused the conflict to occur in those scenarios
48,24,Male,White,Non-Hispanic,772,"The story itself, I realized sometimes the accidents isnt based off of a persons personality, but rather than circumstantial events."
49,37,Male,Black/African American,Non-Hispanic,1321,No
50,45,Female,White,Non-Hispanic,1151,Factors directly related to the incidents were most important. Descriptions of the people were less important.
51,46,Male,White,Non-Hispanic,1091,"I asked myself, ""If this was missing from the story, would it be the same story?"" So, usually something race doesn't play a part. After that, it was determining how much of a factor the detail was, some items being less essential than others."
52,34,Female,White,Non-Hispanic,895,I think the factors I focused on were ones that were most logical. I tried to think about each situation and how I would react in these situations myself.
