id,story,story_order,attention,feature,feature_order,response
1,Julia,1,0,enjoys watching TV shows,1,1
1,Julia,1,0,is a courteous person,2,3
1,Julia,1,0,is female,3,2
1,Julia,1,0,babysits on the weekends,4,3
1,Julia,1,0,is multiracial,5,2
1,Julia,1,0,is 19 years old,6,2
1,Julia,1,0,can be sensitive sometimes,7,2
1,Julia,1,0,has asthma,8,2
1,Julia,1,0,studies psychology,9,2
1,Julia,1,0,is a college student,10,2
1,Julia,1,0,read children's books with Benji,11,2
1,Julia,1,0,picked up her partner's call while filling the bathtub,12,5
1,Julia,1,0,felt hurt after learning about the cheating,13,6
1,Julia,1,0,left the bathroom to talk to her partner,14,7
1,Julia,1,0,sat for a few minutes after hanging up,15,5
1,Alfred,2,1,is a veteran,1,4
1,Alfred,2,1,is patriotic,2,2
1,Alfred,2,1,enjoys fishing,3,2
1,Alfred,2,1,lives alone,4,2
1,Alfred,2,1,enjoys Italian cuisine,5,1
1,Alfred,2,1,is White,6,1
1,Alfred,2,1,is 68 years old,7,2
1,Alfred,2,1,has PTSD,8,5
1,Alfred,2,1,has a calm personality,9,2
1,Alfred,2,1,is male,10,1
1,Alfred,2,1,took the subway home,11,2
1,Alfred,2,1,was quiet on the subway,12,1
1,Alfred,2,1,got off at the same stop as Oliver,13,3
1,Alfred,2,1,heard loud drilling and yelling from the construction above,14,5
1,Alfred,2,1,physically attacked Oliver,15,6
1,Edward,3,1,is 24 years old,1,1
1,Edward,3,1,is a clinical research assistant,2,1
1,Edward,3,1,is an ambitious person,3,1
1,Edward,3,1,is an experienced driver,4,1
1,Edward,3,1,is single,5,1
1,Edward,3,1,is White,6,1
1,Edward,3,1,enjoys reading science fiction,7,1
1,Edward,3,1,is a studious person,8,1
1,Edward,3,1,enjoys browsing Twitter,9,1
1,Edward,3,1,is male,10,1
1,Edward,3,1,did not mute phone notifications while driving,11,4
1,Edward,3,1,was not speeding,12,2
1,Edward,3,1,checked that there were no other cars nearby,13,2
1,Edward,3,1,took a peek at the text,14,6
1,Edward,3,1,veered into the cyclist while reading the text,15,6
1,Qian,4,0,enjoys jazz music,1,1
1,Qian,4,0,is hard-working,2,1
1,Qian,4,0,is 27 years old,3,1
1,Qian,4,0,is a restaurant waiter,4,1
1,Qian,4,0,does not smoke,5,1
1,Qian,4,0,can be stubborn sometimes,6,3
1,Qian,4,0,has a humorous personality,7,1
1,Qian,4,0,enjoys watching sports,8,1
1,Qian,4,0,is Asian,9,1
1,Qian,4,0,is male,10,1
1,Qian,4,0,hung out at the local bar with cousins,11,1
1,Qian,4,0,had several drinks over the course of two hours,12,4
1,Qian,4,0,was angered by Wilson's comments,13,6
1,Qian,4,0,did not talk back to Wilson,14,2
1,Qian,4,0,pushed Wilson to the ground,15,6
1,Flora,5,1,is a counselor,1,1
1,Flora,5,1,is Asian,2,1
1,Flora,5,1,is 32 years old,3,1
1,Flora,5,1,is female,4,1
1,Flora,5,1,is legally blind,5,3
1,Flora,5,1,enjoys gardening,6,1
1,Flora,5,1,is an early riser,7,1
1,Flora,5,1,is an empathetic person,8,1
1,Flora,5,1,uses a white cane to guide herself,9,3
1,Flora,5,1,composes music in her free time,10,1
1,Flora,5,1,went to a neighbor's house for dinner,11,1
1,Flora,5,1,used her white cane while walking home,12,2
1,Flora,5,1,did not call for help,13,4
1,Flora,5,1,her white cane slipped between Paul's legs,14,4
1,Flora,5,1,stepped on Paul's torso,15,4
1,Ava,6,0,is Native American,1,1
1,Ava,6,0,is a compassionate person,2,1
1,Ava,6,0,is 26 years old,3,1
1,Ava,6,0,has a peanut allergy,4,1
1,Ava,6,0,enjoys going to music concerts,5,1
1,Ava,6,0,has been friends with Peter for many years,6,1
1,Ava,6,0,often drives Peter to appointments and errands,7,1
1,Ava,6,0,is female,8,1
1,Ava,6,0,regularly drinks coffee,9,1
1,Ava,6,0,is an artist,10,1
1,Ava,6,0,did her annual car maintenance,11,4
1,Ava,6,0,drove under the speed limit,12,2
1,Ava,6,0,listened to the radio while driving,13,2
1,Ava,6,0,was startled by the deer,14,6
1,Ava,6,0,slammed the brakes after seeing the deer,15,7
1,Darla,7,0,has an absent-minded personality,1,2
1,Darla,7,0,is nearsighted,2,2
1,Darla,7,0,runs a home daycare business,3,4
1,Darla,7,0,has a laid-back personality,4,2
1,Darla,7,0,is Black,5,1
1,Darla,7,0,enjoys cooking,6,1
1,Darla,7,0,has worked with Pamela for many years,7,3
1,Darla,7,0,is 32 years old,8,1
1,Darla,7,0,communicates and interacts well with children,9,2
1,Darla,7,0,is female,10,1
1,Darla,7,0,lives in a tornado-affected area,11,4
1,Darla,7,0,played games with the children,12,3
1,Darla,7,0,played loud upbeat music with the children,13,2
1,Darla,7,0,focused on the children,14,4
1,Darla,7,0,did not hear the tornado sirens,15,7
1,Nadia,8,0,is an organized person,1,1
1,Nadia,8,0,enjoys oil painting,2,1
1,Nadia,8,0,is a software engineer,3,1
1,Nadia,8,0,has red hair,4,1
1,Nadia,8,0,is female,5,1
1,Nadia,8,0,is 34 years old,6,1
1,Nadia,8,0,collects vinyl records,7,1
1,Nadia,8,0,is a timid person,8,1
1,Nadia,8,0,is White,9,1
1,Nadia,8,0,attended couples therapy years ago,10,1
1,Nadia,8,0,went to the emergency room for bruises,11,4
1,Nadia,8,0,did not seek help after the emergency room incident,12,5
1,Nadia,8,0,was scared when Franklin screamed,13,6
1,Nadia,8,0,grabbed the revolver,14,7
1,Nadia,8,0,shot Franklin with the revolver,15,7
1,Melvin,9,1,has high blood pressure,1,1
1,Melvin,9,1,is a farmer,2,3
1,Melvin,9,1,can be stingy sometimes,3,3
1,Melvin,9,1,is male,4,1
1,Melvin,9,1,has a cheerful personality,5,1
1,Melvin,9,1,is White,6,1
1,Melvin,9,1,grows corn,7,1
1,Melvin,9,1,enjoys listening to rock music,8,1
1,Melvin,9,1,is 45 years old,9,1
1,Melvin,9,1,grows hay,10,4
1,Melvin,9,1,built his barn near the border with Vincent's property,11,2
1,Melvin,9,1,was concerned with hayfires,12,4
1,Melvin,9,1,considered buying hay-drying equipment,13,5
1,Melvin,9,1,met with consultants,14,5
1,Melvin,9,1,decided not to buy hay-drying equipment,15,7
1,Chris,10,0,has a curious personality,1,4
1,Chris,10,0,admires his father,2,2
1,Chris,10,0,is White,3,1
1,Chris,10,0,is a picky eater,4,1
1,Chris,10,0,is 10 years old,5,1
1,Chris,10,0,is male,6,1
1,Chris,10,0,weighs 70 lbs,7,1
1,Chris,10,0,enjoys playing hide-and-seek,8,1
1,Chris,10,0,enjoys swimming,9,1
1,Chris,10,0,has an average IQ,10,1
1,Chris,10,0,invited friends over to play,11,1
1,Chris,10,0,hid in the hall closet,12,1
1,Chris,10,0,found the key in his father's jacket pocket,13,7
1,Chris,10,0,opened the gun cabinet with the key,14,7
1,Chris,10,0,picked up a pistol to play with,15,7
1,Tristan,11,1,can be impatient sometimes,1,2
1,Tristan,11,1,enjoys listening to country music,2,1
1,Tristan,11,1,is Christian,3,1
1,Tristan,11,1,can be opinionated sometimes,4,1
1,Tristan,11,1,has worked for over ten years at the same hospital,5,1
1,Tristan,11,1,is Black,6,1
1,Tristan,11,1,is extroverted and outgoing,7,1
1,Tristan,11,1,is a cardiologist,8,1
1,Tristan,11,1,is 43 years old,9,1
1,Tristan,11,1,is male,10,1
1,Tristan,11,1,reviewed Annie's medical history and symptoms,11,3
1,Tristan,11,1,checked Annie's vitals,12,3
1,Tristan,11,1,ordered Annie an electrocardiogram (ECG/EKG),13,2
1,Tristan,11,1,did not order any other heart tests,14,6
1,Tristan,11,1,did not order a mammogram,15,1
2,Alfred,1,1,enjoys Italian cuisine,1,1
2,Alfred,1,1,is 68 years old,2,5
2,Alfred,1,1,has a calm personality,3,5
2,Alfred,1,1,enjoys fishing,4,2
2,Alfred,1,1,is male,5,4
2,Alfred,1,1,is patriotic,6,1
2,Alfred,1,1,is a veteran,7,6
2,Alfred,1,1,lives alone,8,2
2,Alfred,1,1,has PTSD,9,7
2,Alfred,1,1,is White,10,1
2,Alfred,1,1,took the subway home,11,7
2,Alfred,1,1,was quiet on the subway,12,3
2,Alfred,1,1,got off at the same stop as Oliver,13,7
2,Alfred,1,1,heard loud drilling and yelling from the construction above,14,7
2,Alfred,1,1,physically attacked Oliver,15,7
2,Chris,2,1,is White,1,1
2,Chris,2,1,is a picky eater,2,1
2,Chris,2,1,enjoys playing hide-and-seek,3,6
2,Chris,2,1,has an average IQ,4,5
2,Chris,2,1,enjoys swimming,5,1
2,Chris,2,1,is 10 years old,6,4
2,Chris,2,1,weighs 70 lbs,7,1
2,Chris,2,1,admires his father,8,5
2,Chris,2,1,has a curious personality,9,7
2,Chris,2,1,is male,10,2
2,Chris,2,1,invited friends over to play,11,6
2,Chris,2,1,hid in the hall closet,12,7
2,Chris,2,1,found the key in his father's jacket pocket,13,7
2,Chris,2,1,opened the gun cabinet with the key,14,7
2,Chris,2,1,picked up a pistol to play with,15,7
2,Nadia,3,0,has red hair,1,1
2,Nadia,3,0,is female,2,5
2,Nadia,3,0,is 34 years old,3,1
2,Nadia,3,0,is White,4,1
2,Nadia,3,0,attended couples therapy years ago,5,5
2,Nadia,3,0,is an organized person,6,2
2,Nadia,3,0,collects vinyl records,7,1
2,Nadia,3,0,is a timid person,8,4
2,Nadia,3,0,is a software engineer,9,1
2,Nadia,3,0,enjoys oil painting,10,1
2,Nadia,3,0,went to the emergency room for bruises,11,6
2,Nadia,3,0,did not seek help after the emergency room incident,12,5
2,Nadia,3,0,was scared when Franklin screamed,13,7
2,Nadia,3,0,grabbed the revolver,14,7
2,Nadia,3,0,shot Franklin with the revolver,15,7
2,Flora,4,1,is 32 years old,1,1
2,Flora,4,1,is a counselor,2,2
2,Flora,4,1,is Asian,3,1
2,Flora,4,1,enjoys gardening,4,1
2,Flora,4,1,is female,5,3
2,Flora,4,1,is an early riser,6,1
2,Flora,4,1,composes music in her free time,7,1
2,Flora,4,1,uses a white cane to guide herself,8,7
2,Flora,4,1,is legally blind,9,7
2,Flora,4,1,is an empathetic person,10,7
2,Flora,4,1,went to a neighbor's house for dinner,11,3
2,Flora,4,1,used her white cane while walking home,12,6
2,Flora,4,1,did not call for help,13,6
2,Flora,4,1,her white cane slipped between Paul's legs,14,4
2,Flora,4,1,stepped on Paul's torso,15,7
2,Ava,5,1,regularly drinks coffee,1,1
2,Ava,5,1,is a compassionate person,2,6
2,Ava,5,1,has a peanut allergy,3,1
2,Ava,5,1,enjoys going to music concerts,4,1
2,Ava,5,1,is Native American,5,1
2,Ava,5,1,often drives Peter to appointments and errands,6,5
2,Ava,5,1,is female,7,1
2,Ava,5,1,is 26 years old,8,1
2,Ava,5,1,has been friends with Peter for many years,9,3
2,Ava,5,1,is an artist,10,1
2,Ava,5,1,did her annual car maintenance,11,2
2,Ava,5,1,drove under the speed limit,12,3
2,Ava,5,1,listened to the radio while driving,13,2
2,Ava,5,1,was startled by the deer,14,7
2,Ava,5,1,slammed the brakes after seeing the deer,15,7
2,Darla,6,0,communicates and interacts well with children,1,5
2,Darla,6,0,is Black,2,1
2,Darla,6,0,is nearsighted,3,3
2,Darla,6,0,is female,4,1
2,Darla,6,0,has an absent-minded personality,5,7
2,Darla,6,0,has worked with Pamela for many years,6,4
2,Darla,6,0,has a laid-back personality,7,1
2,Darla,6,0,enjoys cooking,8,1
2,Darla,6,0,runs a home daycare business,9,6
2,Darla,6,0,is 32 years old,10,1
2,Darla,6,0,lives in a tornado-affected area,11,7
2,Darla,6,0,played games with the children,12,6
2,Darla,6,0,played loud upbeat music with the children,13,7
2,Darla,6,0,focused on the children,14,6
2,Darla,6,0,did not hear the tornado sirens,15,7
2,Edward,7,1,enjoys reading science fiction,1,1
2,Edward,7,1,is an ambitious person,2,4
2,Edward,7,1,is a clinical research assistant,3,1
2,Edward,7,1,is White,4,1
2,Edward,7,1,enjoys browsing Twitter,5,1
2,Edward,7,1,is 24 years old,6,1
2,Edward,7,1,is male,7,1
2,Edward,7,1,is an experienced driver,8,3
2,Edward,7,1,is a studious person,9,2
2,Edward,7,1,is single,10,1
2,Edward,7,1,did not mute phone notifications while driving,11,6
2,Edward,7,1,was not speeding,12,3
2,Edward,7,1,checked that there were no other cars nearby,13,6
2,Edward,7,1,took a peek at the text,14,7
2,Edward,7,1,veered into the cyclist while reading the text,15,7
2,Melvin,8,1,has a cheerful personality,1,1
2,Melvin,8,1,is male,2,1
2,Melvin,8,1,has high blood pressure,3,1
2,Melvin,8,1,grows hay,4,6
2,Melvin,8,1,enjoys listening to rock music,5,1
2,Melvin,8,1,grows corn,6,4
2,Melvin,8,1,is White,7,1
2,Melvin,8,1,is a farmer,8,6
2,Melvin,8,1,is 45 years old,9,2
2,Melvin,8,1,can be stingy sometimes,10,3
2,Melvin,8,1,built his barn near the border with Vincent's property,11,7
2,Melvin,8,1,was concerned with hayfires,12,6
2,Melvin,8,1,considered buying hay-drying equipment,13,7
2,Melvin,8,1,met with consultants,14,6
2,Melvin,8,1,decided not to buy hay-drying equipment,15,7
2,Qian,9,0,is Asian,1,6
2,Qian,9,0,is 27 years old,2,1
2,Qian,9,0,is male,3,2
2,Qian,9,0,enjoys jazz music,4,1
2,Qian,9,0,does not smoke,5,1
2,Qian,9,0,is hard-working,6,1
2,Qian,9,0,enjoys watching sports,7,1
2,Qian,9,0,can be stubborn sometimes,8,4
2,Qian,9,0,is a restaurant waiter,9,1
2,Qian,9,0,has a humorous personality,10,2
2,Qian,9,0,hung out at the local bar with cousins,11,5
2,Qian,9,0,had several drinks over the course of two hours,12,6
2,Qian,9,0,was angered by Wilson's comments,13,7
2,Qian,9,0,did not talk back to Wilson,14,4
2,Qian,9,0,pushed Wilson to the ground,15,7
2,Tristan,10,1,is 43 years old,1,1
2,Tristan,10,1,can be impatient sometimes,2,4
2,Tristan,10,1,is a cardiologist,3,7
2,Tristan,10,1,is Christian,4,1
2,Tristan,10,1,enjoys listening to country music,5,1
2,Tristan,10,1,is male,6,3
2,Tristan,10,1,is Black,7,1
2,Tristan,10,1,can be opinionated sometimes,8,5
2,Tristan,10,1,is extroverted and outgoing,9,2
2,Tristan,10,1,has worked for over ten years at the same hospital,10,5
2,Tristan,10,1,reviewed Annie's medical history and symptoms,11,7
2,Tristan,10,1,checked Annie's vitals,12,7
2,Tristan,10,1,ordered Annie an electrocardiogram (ECG/EKG),13,7
2,Tristan,10,1,did not order any other heart tests,14,6
2,Tristan,10,1,did not order a mammogram,15,1
2,Julia,11,0,enjoys watching TV shows,1,1
2,Julia,11,0,can be sensitive sometimes,2,2
2,Julia,11,0,studies psychology,3,1
2,Julia,11,0,is 19 years old,4,3
2,Julia,11,0,is a college student,5,1
2,Julia,11,0,is multiracial,6,1
2,Julia,11,0,is female,7,3
2,Julia,11,0,is a courteous person,8,2
2,Julia,11,0,has asthma,9,1
2,Julia,11,0,babysits on the weekends,10,6
2,Julia,11,0,read children's books with Benji,11,1
2,Julia,11,0,picked up her partner's call while filling the bathtub,12,7
2,Julia,11,0,felt hurt after learning about the cheating,13,6
2,Julia,11,0,left the bathroom to talk to her partner,14,7
2,Julia,11,0,sat for a few minutes after hanging up,15,7
3,Darla,1,0,has a laid-back personality,1,2
3,Darla,1,0,is 32 years old,2,2
3,Darla,1,0,is female,3,1
3,Darla,1,0,runs a home daycare business,4,4
3,Darla,1,0,is nearsighted,5,2
3,Darla,1,0,is Black,6,1
3,Darla,1,0,has an absent-minded personality,7,3
3,Darla,1,0,has worked with Pamela for many years,8,2
3,Darla,1,0,communicates and interacts well with children,9,4
3,Darla,1,0,enjoys cooking,10,1
3,Darla,1,0,lives in a tornado-affected area,11,6
3,Darla,1,0,played games with the children,12,4
3,Darla,1,0,played loud upbeat music with the children,13,6
3,Darla,1,0,focused on the children,14,6
3,Darla,1,0,did not hear the tornado sirens,15,7
3,Nadia,2,0,collects vinyl records,1,1
3,Nadia,2,0,is an organized person,2,1
3,Nadia,2,0,is a software engineer,3,1
3,Nadia,2,0,is a timid person,4,2
3,Nadia,2,0,has red hair,5,1
3,Nadia,2,0,is female,6,4
3,Nadia,2,0,enjoys oil painting,7,1
3,Nadia,2,0,is 34 years old,8,2
3,Nadia,2,0,attended couples therapy years ago,9,5
3,Nadia,2,0,is White,10,1
3,Nadia,2,0,went to the emergency room for bruises,11,6
3,Nadia,2,0,did not seek help after the emergency room incident,12,5
3,Nadia,2,0,was scared when Franklin screamed,13,6
3,Nadia,2,0,grabbed the revolver,14,6
3,Nadia,2,0,shot Franklin with the revolver,15,6
3,Chris,3,1,weighs 70 lbs,1,1
3,Chris,3,1,is 10 years old,2,6
3,Chris,3,1,is White,3,1
3,Chris,3,1,has an average IQ,4,4
3,Chris,3,1,has a curious personality,5,4
3,Chris,3,1,enjoys playing hide-and-seek,6,1
3,Chris,3,1,admires his father,7,2
3,Chris,3,1,is male,8,1
3,Chris,3,1,is a picky eater,9,1
3,Chris,3,1,enjoys swimming,10,1
3,Chris,3,1,invited friends over to play,11,2
3,Chris,3,1,hid in the hall closet,12,2
3,Chris,3,1,found the key in his father's jacket pocket,13,6
3,Chris,3,1,opened the gun cabinet with the key,14,6
3,Chris,3,1,picked up a pistol to play with,15,6
3,Melvin,4,1,is a farmer,1,4
3,Melvin,4,1,grows hay,2,4
3,Melvin,4,1,has high blood pressure,3,1
3,Melvin,4,1,is 45 years old,4,1
3,Melvin,4,1,grows corn,5,3
3,Melvin,4,1,is male,6,1
3,Melvin,4,1,enjoys listening to rock music,7,1
3,Melvin,4,1,is White,8,1
3,Melvin,4,1,has a cheerful personality,9,1
3,Melvin,4,1,can be stingy sometimes,10,4
3,Melvin,4,1,built his barn near the border with Vincent's property,11,2
3,Melvin,4,1,was concerned with hayfires,12,4
3,Melvin,4,1,considered buying hay-drying equipment,13,5
3,Melvin,4,1,met with consultants,14,5
3,Melvin,4,1,decided not to buy hay-drying equipment,15,6
3,Flora,5,1,is legally blind,1,5
3,Flora,5,1,is an empathetic person,2,2
3,Flora,5,1,is an early riser,3,1
3,Flora,5,1,enjoys gardening,4,1
3,Flora,5,1,is Asian,5,1
3,Flora,5,1,is 32 years old,6,1
3,Flora,5,1,is a counselor,7,1
3,Flora,5,1,composes music in her free time,8,1
3,Flora,5,1,is female,9,1
3,Flora,5,1,uses a white cane to guide herself,10,5
3,Flora,5,1,went to a neighbor's house for dinner,11,1
3,Flora,5,1,used her white cane while walking home,12,5
3,Flora,5,1,did not call for help,13,2
3,Flora,5,1,her white cane slipped between Paul's legs,14,5
3,Flora,5,1,stepped on Paul's torso,15,5
3,Julia,6,0,enjoys watching TV shows,1,1
3,Julia,6,0,is multiracial,2,1
3,Julia,6,0,is a college student,3,1
3,Julia,6,0,is a courteous person,4,1
3,Julia,6,0,is 19 years old,5,1
3,Julia,6,0,babysits on the weekends,6,4
3,Julia,6,0,is female,7,1
3,Julia,6,0,studies psychology,8,1
3,Julia,6,0,can be sensitive sometimes,9,1
3,Julia,6,0,has asthma,10,1
3,Julia,6,0,read children's books with Benji,11,1
3,Julia,6,0,picked up her partner's call while filling the bathtub,12,6
3,Julia,6,0,felt hurt after learning about the cheating,13,4
3,Julia,6,0,left the bathroom to talk to her partner,14,6
3,Julia,6,0,sat for a few minutes after hanging up,15,6
3,Ava,7,1,often drives Peter to appointments and errands,1,6
3,Ava,7,1,regularly drinks coffee,2,1
3,Ava,7,1,is 26 years old,3,1
3,Ava,7,1,is female,4,1
3,Ava,7,1,is Native American,5,1
3,Ava,7,1,has a peanut allergy,6,1
3,Ava,7,1,is a compassionate person,7,4
3,Ava,7,1,enjoys going to music concerts,8,1
3,Ava,7,1,has been friends with Peter for many years,9,6
3,Ava,7,1,is an artist,10,1
3,Ava,7,1,did her annual car maintenance,11,4
3,Ava,7,1,drove under the speed limit,12,6
3,Ava,7,1,listened to the radio while driving,13,2
3,Ava,7,1,was startled by the deer,14,5
3,Ava,7,1,slammed the brakes after seeing the deer,15,6
3,Tristan,8,1,is male,1,1
3,Tristan,8,1,is Black,2,1
3,Tristan,8,1,can be opinionated sometimes,3,1
3,Tristan,8,1,is extroverted and outgoing,4,1
3,Tristan,8,1,has worked for over ten years at the same hospital,5,5
3,Tristan,8,1,can be impatient sometimes,6,2
3,Tristan,8,1,is a cardiologist,7,6
3,Tristan,8,1,enjoys listening to country music,8,1
3,Tristan,8,1,is Christian,9,1
3,Tristan,8,1,is 43 years old,10,1
3,Tristan,8,1,reviewed Annie's medical history and symptoms,11,7
3,Tristan,8,1,checked Annie's vitals,12,7
3,Tristan,8,1,ordered Annie an electrocardiogram (ECG/EKG),13,7
3,Tristan,8,1,did not order any other heart tests,14,6
3,Tristan,8,1,did not order a mammogram,15,6
3,Qian,9,0,is Asian,1,6
3,Qian,9,0,can be stubborn sometimes,2,4
3,Qian,9,0,enjoys watching sports,3,1
3,Qian,9,0,enjoys jazz music,4,1
3,Qian,9,0,is a restaurant waiter,5,1
3,Qian,9,0,is male,6,1
3,Qian,9,0,has a humorous personality,7,1
3,Qian,9,0,does not smoke,8,1
3,Qian,9,0,is hard-working,9,1
3,Qian,9,0,is 27 years old,10,1
3,Qian,9,0,hung out at the local bar with cousins,11,1
3,Qian,9,0,had several drinks over the course of two hours,12,6
3,Qian,9,0,was angered by Wilson's comments,13,6
3,Qian,9,0,did not talk back to Wilson,14,5
3,Qian,9,0,pushed Wilson to the ground,15,6
3,Alfred,10,1,lives alone,1,1
3,Alfred,10,1,enjoys Italian cuisine,2,1
3,Alfred,10,1,has PTSD,3,7
3,Alfred,10,1,is White,4,1
3,Alfred,10,1,is patriotic,5,1
3,Alfred,10,1,is male,6,1
3,Alfred,10,1,enjoys fishing,7,1
3,Alfred,10,1,has a calm personality,8,5
3,Alfred,10,1,is 68 years old,9,5
3,Alfred,10,1,is a veteran,10,2
3,Alfred,10,1,took the subway home,11,1
3,Alfred,10,1,was quiet on the subway,12,6
3,Alfred,10,1,got off at the same stop as Oliver,13,5
3,Alfred,10,1,heard loud drilling and yelling from the construction above,14,4
3,Alfred,10,1,physically attacked Oliver,15,6
3,Edward,11,1,enjoys browsing Twitter,1,1
3,Edward,11,1,is a clinical research assistant,2,1
3,Edward,11,1,is 24 years old,3,1
3,Edward,11,1,is single,4,1
3,Edward,11,1,is White,5,1
3,Edward,11,1,is an ambitious person,6,1
3,Edward,11,1,enjoys reading science fiction,7,1
3,Edward,11,1,is an experienced driver,8,6
3,Edward,11,1,is male,9,1
3,Edward,11,1,is a studious person,10,1
3,Edward,11,1,did not mute phone notifications while driving,11,5
3,Edward,11,1,was not speeding,12,6
3,Edward,11,1,checked that there were no other cars nearby,13,6
3,Edward,11,1,took a peek at the text,14,6
3,Edward,11,1,veered into the cyclist while reading the text,15,6
4,Melvin,1,1,is White,1,2
4,Melvin,1,1,is a farmer,2,7
4,Melvin,1,1,enjoys listening to rock music,3,1
4,Melvin,1,1,has high blood pressure,4,1
4,Melvin,1,1,has a cheerful personality,5,2
4,Melvin,1,1,grows corn,6,4
4,Melvin,1,1,grows hay,7,7
4,Melvin,1,1,is male,8,2
4,Melvin,1,1,is 45 years old,9,2
4,Melvin,1,1,can be stingy sometimes,10,7
4,Melvin,1,1,built his barn near the border with Vincent's property,11,6
4,Melvin,1,1,was concerned with hayfires,12,6
4,Melvin,1,1,considered buying hay-drying equipment,13,6
4,Melvin,1,1,met with consultants,14,5
4,Melvin,1,1,decided not to buy hay-drying equipment,15,7
4,Darla,2,0,has an absent-minded personality,1,6
4,Darla,2,0,communicates and interacts well with children,2,5
4,Darla,2,0,has a laid-back personality,3,4
4,Darla,2,0,runs a home daycare business,4,7
4,Darla,2,0,enjoys cooking,5,1
4,Darla,2,0,is 32 years old,6,1
4,Darla,2,0,is Black,7,1
4,Darla,2,0,has worked with Pamela for many years,8,5
4,Darla,2,0,is female,9,1
4,Darla,2,0,is nearsighted,10,1
4,Darla,2,0,lives in a tornado-affected area,11,7
4,Darla,2,0,played games with the children,12,4
4,Darla,2,0,played loud upbeat music with the children,13,6
4,Darla,2,0,focused on the children,14,5
4,Darla,2,0,did not hear the tornado sirens,15,7
4,Tristan,3,1,has worked for over ten years at the same hospital,1,5
4,Tristan,3,1,is male,2,1
4,Tristan,3,1,can be opinionated sometimes,3,6
4,Tristan,3,1,is Black,4,1
4,Tristan,3,1,is 43 years old,5,1
4,Tristan,3,1,is Christian,6,1
4,Tristan,3,1,enjoys listening to country music,7,1
4,Tristan,3,1,is a cardiologist,8,7
4,Tristan,3,1,is extroverted and outgoing,9,2
4,Tristan,3,1,can be impatient sometimes,10,5
4,Tristan,3,1,reviewed Annie's medical history and symptoms,11,6
4,Tristan,3,1,checked Annie's vitals,12,6
4,Tristan,3,1,ordered Annie an electrocardiogram (ECG/EKG),13,6
4,Tristan,3,1,did not order any other heart tests,14,7
4,Tristan,3,1,did not order a mammogram,15,1
4,Flora,4,1,is an early riser,1,1
4,Flora,4,1,composes music in her free time,2,1
4,Flora,4,1,is a counselor,3,1
4,Flora,4,1,uses a white cane to guide herself,4,7
4,Flora,4,1,is legally blind,5,7
4,Flora,4,1,enjoys gardening,6,1
4,Flora,4,1,is 32 years old,7,1
4,Flora,4,1,is female,8,1
4,Flora,4,1,is an empathetic person,9,5
4,Flora,4,1,is Asian,10,1
4,Flora,4,1,went to a neighbor's house for dinner,11,6
4,Flora,4,1,used her white cane while walking home,12,7
4,Flora,4,1,did not call for help,13,3
4,Flora,4,1,her white cane slipped between Paul's legs,14,5
4,Flora,4,1,stepped on Paul's torso,15,6
4,Nadia,5,0,is an organized person,1,2
4,Nadia,5,0,is a timid person,2,5
4,Nadia,5,0,collects vinyl records,3,1
4,Nadia,5,0,is a software engineer,4,1
4,Nadia,5,0,enjoys oil painting,5,1
4,Nadia,5,0,attended couples therapy years ago,6,5
4,Nadia,5,0,has red hair,7,1
4,Nadia,5,0,is White,8,1
4,Nadia,5,0,is female,9,3
4,Nadia,5,0,is 34 years old,10,1
4,Nadia,5,0,went to the emergency room for bruises,11,5
4,Nadia,5,0,did not seek help after the emergency room incident,12,4
4,Nadia,5,0,was scared when Franklin screamed,13,5
4,Nadia,5,0,grabbed the revolver,14,6
4,Nadia,5,0,shot Franklin with the revolver,15,7
4,Qian,6,0,is Asian,1,7
4,Qian,6,0,enjoys jazz music,2,3
4,Qian,6,0,can be stubborn sometimes,3,4
4,Qian,6,0,enjoys watching sports,4,2
4,Qian,6,0,is 27 years old,5,1
4,Qian,6,0,is a restaurant waiter,6,1
4,Qian,6,0,does not smoke,7,1
4,Qian,6,0,is male,8,1
4,Qian,6,0,is hard-working,9,1
4,Qian,6,0,has a humorous personality,10,1
4,Qian,6,0,hung out at the local bar with cousins,11,6
4,Qian,6,0,had several drinks over the course of two hours,12,6
4,Qian,6,0,was angered by Wilson's comments,13,7
4,Qian,6,0,did not talk back to Wilson,14,5
4,Qian,6,0,pushed Wilson to the ground,15,7
4,Julia,7,0,is multiracial,1,1
4,Julia,7,0,babysits on the weekends,2,7
4,Julia,7,0,is a courteous person,3,3
4,Julia,7,0,is 19 years old,4,1
4,Julia,7,0,has asthma,5,1
4,Julia,7,0,studies psychology,6,1
