id,story,story_order,attention,feature,feature_order,response
1,Flora,1,1,been a counselor,1,1
1,Flora,1,1,been an empathetic person,2,0
1,Flora,1,1,been legally blind,3,0
1,Flora,1,1,been female,4,0
1,Flora,1,1,used a white cane to guide themselves,5,0
1,Flora,1,1,been 32 years old,6,0
1,Flora,1,1,been Asian,7,0
1,Flora,1,1,been an early riser,8,0
1,Flora,1,1,composed music in their free time,9,0
1,Flora,1,1,enjoyed gardening,10,0
1,Flora,1,1,gone to a neighbor's house for dinner,11,0
1,Flora,1,1,used their white cane while walking home,12,0
1,Flora,1,1,not called for help,13,0
1,Flora,1,1,had their white cane slip between Paul's legs,14,0
1,Flora,1,1,stepped on Paul's torso,15,0
1,Edward,2,1,been single,1,0
1,Edward,2,1,been an ambitious person,2,0
1,Edward,2,1,been 24 years old,3,0
1,Edward,2,1,enjoyed browsing Twitter,4,1
1,Edward,2,1,been male,5,0
1,Edward,2,1,been White,6,0
1,Edward,2,1,been a clinical research assistant,7,0
1,Edward,2,1,been a studious person,8,0
1,Edward,2,1,enjoyed reading science fiction,9,0
1,Edward,2,1,been an experienced driver,10,0
1,Edward,2,1,not muted phone notifications while driving,11,0
1,Edward,2,1,not sped,12,0
1,Edward,2,1,checked that there were no other cars nearby,13,0
1,Edward,2,1,taken a peek at the text ,14,0
1,Edward,2,1,veered into the cyclist while reading the text,15,0
1,Alfred,3,1,been patriotic,1,1
1,Alfred,3,1,lived alone,2,0
1,Alfred,3,1,had PTSD,3,0
1,Alfred,3,1,been male,4,0
1,Alfred,3,1,been 68 years old,5,0
1,Alfred,3,1,been a veteran,6,0
1,Alfred,3,1,enjoyed fishing,7,0
1,Alfred,3,1,enjoyed Italian cuisine,8,0
1,Alfred,3,1,had a calm personality,9,0
1,Alfred,3,1,been White,10,0
1,Alfred,3,1,taken the subway home,11,0
1,Alfred,3,1,been quiet on the subway,12,0
1,Alfred,3,1,gotten off at the same stop as Oliver,13,0
1,Alfred,3,1,heard loud drilling and yelling from the construction above,14,0
1,Alfred,3,1,physically attacked Oliver,15,0
1,Qian,4,0,been male,1,0
1,Qian,4,0,not smoked,2,1
1,Qian,4,0,enjoyed watching sports,3,0
1,Qian,4,0,been a restaurant waiter,4,0
1,Qian,4,0,been Asian,5,0
1,Qian,4,0,been stubborn sometimes,6,0
1,Qian,4,0,enjoyed jazz music,7,0
1,Qian,4,0,been hard-working,8,0
1,Qian,4,0,been 27 years old,9,0
1,Qian,4,0,had a humorous personality,10,0
1,Qian,4,0,hung out at the local bar with cousins,11,0
1,Qian,4,0,had several drinks over the course of two hours,12,0
1,Qian,4,0,been angered by Wilson's comments,13,0
1,Qian,4,0,not talked back to Wilson,14,0
1,Qian,4,0,pushed Wilson to the ground,15,0
1,Julia,5,0,enjoyed watching TV shows,1,0
1,Julia,5,0,studied psychology,2,0
1,Julia,5,0,babysat on the weekends,3,0
1,Julia,5,0,been a college student,4,0
1,Julia,5,0,been a courteous person,5,0
1,Julia,5,0,been sensitive sometimes,6,0
1,Julia,5,0,been female,7,0
1,Julia,5,0,been 19 years old,8,0
1,Julia,5,0,had asthma,9,0
1,Julia,5,0,been multiracial,10,1
1,Julia,5,0,read children's books with Benji,11,0
1,Julia,5,0,picked up their partner's call while filling the bathtub,12,0
1,Julia,5,0,felt hurt after learning about the cheating,13,0
1,Julia,5,0,left the bathroom to talk to their partner,14,0
1,Julia,5,0,sat for a few minutes after hanging up,15,0
1,Chris,6,1,enjoyed swimming,1,0
1,Chris,6,1,admired his father,2,0
1,Chris,6,1,been 10 years old,3,0
1,Chris,6,1,been White,4,0
1,Chris,6,1,weighed 70 lbs,5,0
1,Chris,6,1,been male,6,0
1,Chris,6,1,been a picky eater,7,1
1,Chris,6,1,had an average IQ,8,0
1,Chris,6,1,had a curious personality,9,0
1,Chris,6,1,enjoyed playing hide-and-seek,10,0
1,Chris,6,1,invited friends over to play,11,0
1,Chris,6,1,hid in the hall closet,12,0
1,Chris,6,1,found the key in their father's jacket pocket,13,0
1,Chris,6,1,opened the gun cabinet with the key,14,0
1,Chris,6,1,picked up a pistol to play with,15,0
1,Darla,7,1,had an absent-minded personality,1,0
1,Darla,7,1,been nearsighted,2,0
1,Darla,7,1,worked with Pamela for many years,3,0
1,Darla,7,1,been 32 years old,4,0
1,Darla,7,1,enjoyed cooking,5,0
1,Darla,7,1,been female,6,0
1,Darla,7,1,communicated and interacted well with children,7,0
1,Darla,7,1,ran a home daycare business,8,0
1,Darla,7,1,been Black,9,0
1,Darla,7,1,had a laid-back personality,10,0
1,Darla,7,1,lived in a tornado-affected area,11,0
1,Darla,7,1,played games with the children,12,0
1,Darla,7,1,played loud upbeat music with the children,13,1
1,Darla,7,1,focused on the children,14,0
1,Darla,7,1,not heard the tornado sirens,15,0
1,Melvin,8,1,been a farmer,1,0
1,Melvin,8,1,been White,2,0
1,Melvin,8,1,had a cheerful personality,3,0
1,Melvin,8,1,been 45 years old,4,0
1,Melvin,8,1,been stingy sometimes,5,0
1,Melvin,8,1,been male,6,0
1,Melvin,8,1,enjoyed listening to rock music,7,1
1,Melvin,8,1,grown hay,8,0
1,Melvin,8,1,had high blood pressure,9,0
1,Melvin,8,1,grown corn,10,0
1,Melvin,8,1,built their barn near the border with Vincent's property,11,0
1,Melvin,8,1,been concerned with hayfires,12,0
1,Melvin,8,1,considered buying hay-drying equipment,13,0
1,Melvin,8,1,met with consultants,14,0
1,Melvin,8,1,decided not to buy hay-drying equipment,15,0
1,Nadia,9,0,had red hair,1,0
1,Nadia,9,0,collected vinyl records,2,1
1,Nadia,9,0,been female,3,0
1,Nadia,9,0,been a software engineer,4,0
1,Nadia,9,0,been a timid person,5,0
1,Nadia,9,0,been White,6,0
1,Nadia,9,0,enjoyed oil painting,7,0
1,Nadia,9,0,been an organized person,8,0
1,Nadia,9,0,attended couples therapy years ago,9,0
1,Nadia,9,0,been 34 years old,10,0
1,Nadia,9,0,gone to the emergency room for bruises,11,0
1,Nadia,9,0,not sought help after the emergency room incident,12,0
1,Nadia,9,0,been scared when Franklin screamed,13,0
1,Nadia,9,0,grabbed the revolver,14,0
1,Nadia,9,0,shot Franklin with the revolver,15,0
1,Ava,10,1,been an artist,1,0
1,Ava,10,1,been a compassionate person,2,0
1,Ava,10,1,been friends with Peter for many years,3,0
1,Ava,10,1,regularly drank coffee,4,0
1,Ava,10,1,had a peanut allergy,5,0
1,Ava,10,1,often driven Peter to appointments and errands,6,0
1,Ava,10,1,enjoyed going to music concerts,7,0
1,Ava,10,1,been female,8,0
1,Ava,10,1,been 26 years old,9,0
1,Ava,10,1,been Native American,10,0
1,Ava,10,1,done their annual car maintenance,11,1
1,Ava,10,1,driven under the speed limit,12,0
1,Ava,10,1,listened to the radio while driving,13,0
1,Ava,10,1,been startled by the deer,14,0
1,Ava,10,1,slammed the brakes after seeing the deer,15,0
1,Tristan,11,1,been impatient sometimes,1,0
1,Tristan,11,1,enjoyed listening to country music,2,0
1,Tristan,11,1,been 43 years old,3,0
1,Tristan,11,1,been Christian,4,0
1,Tristan,11,1,been extroverted and outgoing,5,0
1,Tristan,11,1,been Black,6,0
