id,age,gender,race,ethnicity,time,feedback
1,62,Male,Indigenous American,Non-Hispanic,1022.992,How relevant the jurors' reasoning was to the actual evidence.
2,42,Male,White,Non-Hispanic,956.63,I read the story and tried to understand it  determine the relevant factors in the events that transpired. Then I considered whether those were relevant when describing it in a legal proceeding. That's how I interpreted the experiment  hopefully that was correct.
3,60,Female,White,Non-Hispanic,1045.741,The incidents that led up to what happened
4,49,Female,Black/African American,Non-Hispanic,1285.773,The characteristics provided in the options. 
5,44,Male,White,Non-Hispanic,859.232,
6,37,Male,Black/African American,Non-Hispanic,603.286,Examining the severity of the incident described and the characteristics of each person. 
7,34,Male,White,Non-Hispanic,844.886,"I prioritized the professional role and psychological state of each character to determine the most relevant reasonable person"" standard"""
8,37,Male,White,Non-Hispanic,1259.751,"For some situations it was a little hard to decide between do not agree at all"" and a ""neutral"" score."""
9,47,Female,White,Non-Hispanic,893.149,I considered if the act was an accident or intentional  if it could happen to anyone and other conditions.
10,31,Male,Multiracial,Non-Hispanic,703.821,whether it applied to the situation or not
11,72,Female,White,Non-Hispanic,1705.269,I thought about it as if I was the person that was in the situation and would be judged by the people in the study.
12,51,Male,White,Non-Hispanic,1334.035,"It was mostly the factors that were mostly related to what happened, such as negligence or not paying attention. "
13,29,Female,White,Non-Hispanic,700.346,I thought about factors that could be relevant to the incidents that occurred in the stories. I also thought about potential cultural biases or mental conditions that may affect the individuals in the stories.
14,28,Female,Asian,Non-Hispanic,759.555,"I factored characteristics about the people that related to the situation. I deprioritized factors like one's gender, age, and race."
15,28,Male,Asian,Non-Hispanic,744.759,I responded how I would feel like I was a juror
16,39,Male,White,Non-Hispanic,882.178,i decided based on what a person in those situations would normally do.
17,71,Male,White,Non-Hispanic,856.944,"How the jurors saw the people, the main thing that stood out to them and if it was something racial or negative then I rated them low."
18,33,Male,White,Non-Hispanic,861.051,Whether I believe the person was at fault or not.
19,33,Female,White,Non-Hispanic,1295.935,I considered whether or not someone would have a biased perspective due to their circumstances or how familiar they were with a person's situation. 
20,36,Female,White,Non-Hispanic,1185.764,I usually didn't select factors of gender or race unless I thought it was specific to the situation (weighing repeated physical abuse against a female partner who is most likely smaller or less muscular than her male partner; race where racial slurs were directed against a person).
21,32,Female,White,Non-Hispanic,906.789,I responded by using the descriptors that I thought would be relevant or useful to help the client in the case. I have no questions or comments.
22,62,Male,White,Non-Hispanic,825.847," unless they somehow felt relevant to the facts of the case."""
23,38,Female,White,Non-Hispanic,1447.588,
24,74,Male,White,,974.151,I considered relevance to the case at hand. I guessed that you wanted me to judge who were the best choices for jurors and went by that
25,46,Male,White,Non-Hispanic,1166.501,If the description of the person had anything to do with the crime that the person committed.
26,40,Female,White,Non-Hispanic,724.621,"What factors of the person had something to do with the actual situation (e.g. being Asian and being discriminated against, being blind and needing to use a cane)"
27,28,Male,White,Non-Hispanic,1111.89,I read the brief history about the specific and it determined alot on how i responded.
28,41,Female,Multiracial,Hispanic,937.586,how reckless the person was determined how reasonable they were 
29,26,Female,White,Non-Hispanic,1102.1,No questions
30,43,Female,White,Non-Hispanic,1706.025,"Whether or not the criteria given was actually relevant to the situation the person was in (for example, being an experienced driver is relevant and should be considered for a car accident so it is the most appropriate, being White or Black is not relevant even if it is accurate so less appropriate, having good study habits is not relevant at all and should not be considered). "
