id,story,story_order,attention,feature,feature_order,response
1,Qian,1,0,generic person,0,85
1,Qian,1,0,hard-working person,1,49
1,Qian,1,0,non-smoker,2,1
1,Qian,1,0,Asian person,3,0
1,Qian,1,0,person with a humorous personality,4,28
1,Qian,1,0,person who enjoys jazz music,5,0
1,Qian,1,0,male person,6,0
1,Qian,1,0,restaurant waiter,7,37
1,Qian,1,0,27-year-old person,8,85
1,Qian,1,0,person who enjoys watching sports,9,50
1,Qian,1,0,person who can be stubborn,10,96
1,Chris,2,1,generic person,0,100
1,Chris,2,1,person with a curious personality,1,99
1,Chris,2,1,White person,2,0
1,Chris,2,1,male person,3,0
1,Chris,2,1,person who enjoys playing hide-and-seek,4,56
1,Chris,2,1,person with an average IQ,5,99
1,Chris,2,1,10-year-old person,6,98
1,Chris,2,1,person who enjoys swimming,7,0
1,Chris,2,1,picky eater,8,0
1,Chris,2,1,person who admires his father,9,72
1,Chris,2,1,person who weighs 70 lbs,10,53
1,Julia,3,0,generic person,0,100
1,Julia,3,0,multiracial person,1,1
1,Julia,3,0,female person,2,13
1,Julia,3,0,college student,3,51
1,Julia,3,0,courteous person,4,49
1,Julia,3,0,person who enjoys watching TV shows,5,0
1,Julia,3,0,person studying psychology,6,0
1,Julia,3,0,19-year-old person,7,100
1,Julia,3,0,babysitter,8,99
1,Julia,3,0,person who can be sensitive,9,45
1,Julia,3,0,person with asthma,10,0
1,Melvin,4,1,generic person,0,97
1,Melvin,4,1,person who enjoys rock music,1,2
1,Melvin,4,1,person who is sometimes stingy,2,87
1,Melvin,4,1,person who grows hay,3,99
1,Melvin,4,1,person with high blood pressure,4,0
1,Melvin,4,1,White person,5,0
1,Melvin,4,1,male person,6,0
1,Melvin,4,1,person who grows corn,7,48
1,Melvin,4,1,45-year-old person,8,49
1,Melvin,4,1,farmer,9,98
1,Melvin,4,1,person with a cheerful personality,10,12
1,Ava,5,1,generic person,0,99
1,Ava,5,1,26-year-old person,1,99
1,Ava,5,1,compassionate person,2,98
1,Ava,5,1,person who often drives,3,98
1,Ava,5,1,person who enjoys music concerts,4,0
1,Ava,5,1,person who regularly drinks coffee,5,0
1,Ava,5,1,long-time friend,6,51
1,Ava,5,1,person with a peanut allergy,7,0
1,Ava,5,1,Native American person,8,0
1,Ava,5,1,artist,9,0
1,Ava,5,1,female person,10,0
1,Flora,6,1,generic person,0,100
1,Flora,6,1,Asian person,1,0
1,Flora,6,1,person who uses a white cane,2,0
1,Flora,6,1,early riser,3,0
1,Flora,6,1,female person,4,0
1,Flora,6,1,person who enjoys gardening,5,28
1,Flora,6,1,32-year-old person,6,53
1,Flora,6,1,person who composes music,7,19
1,Flora,6,1,legally blind person,8,100
1,Flora,6,1,empathetic person,9,100
1,Flora,6,1,counselor,10,28
1,Nadia,7,0,generic person,0,99
1,Nadia,7,0,female person,1,100
1,Nadia,7,0,person with red hair,2,0
1,Nadia,7,0,White person,3,0
1,Nadia,7,0,person who enjoys oil painting,4,0
1,Nadia,7,0,software engineer,5,0
1,Nadia,7,0,timid person,6,73
1,Nadia,7,0,person who had attended couples therapy,7,72
1,Nadia,7,0,organized person,8,0
1,Nadia,7,0,34-year-old person,9,51
1,Nadia,7,0,person who collects vinyl records,10,0
1,Darla,8,0,generic person,0,98
1,Darla,8,0,person with a long-term client relationship,1,97
1,Darla,8,0,person who interacts well with children,2,100
1,Darla,8,0,Black person,3,0
1,Darla,8,0,32-year-old person,4,51
1,Darla,8,0,nearsighted person,5,10
1,Darla,8,0,person with a laid-back personality,6,0
1,Darla,8,0,female person,7,25
1,Darla,8,0,home daycare business owner,8,100
1,Darla,8,0,person who enjoys cooking,9,6
1,Darla,8,0,person with an absent-minded personality,10,48
1,Tristan,9,1,generic person,0,98
1,Tristan,9,1,cardiologist,1,98
1,Tristan,9,1,person who can be opinionated,2,10
1,Tristan,9,1,Black person,3,0
1,Tristan,9,1,person who enjoys country music,4,0
1,Tristan,9,1,person who can be impatient,5,51
1,Tristan,9,1,extroverted and outgoing person,6,0
1,Tristan,9,1,Christian person,7,0
1,Tristan,9,1,male person,8,11
1,Tristan,9,1,person with 10+ years of work experience,9,100
1,Tristan,9,1,43-year-old person,10,5
1,Alfred,10,1,generic person,0,74
1,Alfred,10,1,male person,1,0
1,Alfred,10,1,68-year-old person,2,51
1,Alfred,10,1,patriotic person,3,0
1,Alfred,10,1,person who lives alone,4,0
1,Alfred,10,1,person who enjoys Italian cuisine,5,0
1,Alfred,10,1,person with a calm personality,6,49
1,Alfred,10,1,person with PTSD,7,73
1,Alfred,10,1,person who enjoys fishing,8,0
1,Alfred,10,1,White person,9,0
1,Alfred,10,1,veteran,10,47
1,Edward,11,1,generic person,0,100
1,Edward,11,1,experienced driver,1,47
1,Edward,11,1,ambitious person,2,0
1,Edward,11,1,studious person,3,0
1,Edward,11,1,person who enjoys browsing Twitter,4,49
