id,age,gender,race,ethnicity,time,feedback
1,40,Female,White,Non-Hispanic,1797,Whether or not the actions were caused by neglect or were accidental.
2,42,Female,White,Non-Hispanic,841,Just my gut feeling and how what I thought a reasonable person would do.no questions. Thank you!
3,22,Male,White,Non-Hispanic,755,"I tried to imagine myself in these positions and tried to remain unbiased based on age and race. However, age sometimes mattered in these decisions due to the idea of maturity."
4,27,Female,other_race,Hispanic,1152,I went with my gut feelings 
5,20,Female,White,Non-Hispanic,555,I tried not to pick the demographic options because they mostly were not relevant to the scenarios.
6,31,Male,White,,1865,"I responded without bias as much as possible, and as honest as I thought I could be."
7,26,Female,White,Non-Hispanic,721,
8,62,Female,White,Non-Hispanic,1350,How reasonable it seemed for a similar in the same situation
9,58,Male,White,Non-Hispanic,931,70 is under the speed limit?
10,21,Female,White,Non-Hispanic,932,"I didn't pick the traits that the person couldn't change, like gender or age."
11,55,Female,White,Non-Hispanic,1083,Most things were resonable but a few things stood out as not reasonable at all
12,55,Male,White,Non-Hispanic,804,"I focused on the scenarios' outcomes when determining what was rational, not if their attributes were rational."
13,41,Female,Black/African American,Non-Hispanic,2569,I responded based on what the average person would do or should do.
14,31,Male,Black/African American,Non-Hispanic,840,I responded by remembering how each senario played out 
15,40,Male,White,Hispanic,1216,"I considered factors involving common sense, as well as what I would have done in each person's position as a reasonable person, and whether I would have considered each item to be reasonable."
16,48,Female,White,Non-Hispanic,1375,I thought of how often these types of things happen and the decisions that were made.
17,49,Male,White,Non-Hispanic,799,Uncommon sense & discernment
18,23,Female,Black/African American,Non-Hispanic,1361,putting myself in their shoes was my biggest influence 
19,28,Male,White,Hispanic,1043,"I only considered the most relevant factors at hand and the description of the person's general personality, since most of what was listed didn't have anything to do with reasonableness, like age, ethnicity, gender, etc."
20,52,Female,White,Non-Hispanic,644,Everyone has the ability to act out. 
21,31,Female,White,Non-Hispanic,1856,Whether or not the act was done with intention and thought
22,35,Male,White,Non-Hispanic,2312,
23,37,Male,White,Non-Hispanic,2312,
24,29,Female,Black/African American,Non-Hispanic,1737,"I chose factors that a normal, reasonable person would do. Moral and honest characteristics"
25,43,Female,White,Non-Hispanic,536,If thr actions were something i would do
26,46,Male,White,Non-Hispanic,857,I just went by what seemed reasonable
27,39,Female,White,Non-Hispanic,785,"I found the instructions confusing.  The questions about would a reasonable person have certain physical characteristics didn't make any sense.  Being a certain color, male or female, etc isn't something that is or is not reasonable"
28,39,Male,White,Non-Hispanic,1337,Whether I thought of a certain action as being reasonable presented with the evidence which was provided.
29,33,Male,White,,701,I chose by instinct.
30,50,Male,White,Non-Hispanic,646,i just tried to do what i thought was right
31,53,Male,White,Non-Hispanic,1289,If their actions put someone in danger or acted violently I think is unreasonable
32,56,Female,White,Non-Hispanic,1332,
33,28,Female,other_race,Hispanic,1255,I considered what a reasonable person would do in these situations. I don't think race or gender should be factors since that shouldn't matter.
34,21,Non-binary,White,Non-Hispanic,1462,i decided at the beginning that for all of them i would either select all the demographic/nonessential factors or none of them so the only ones i was really considering were the ones about the main event
35,75,Male,White,,1627,As with most decisions that I make I applied common sense and factored in my gut reaction.
36,27,Female,,Hispanic,1735,I tried to not take race/age/gender ect into account. 
37,34,Male,Black/African American,Non-Hispanic,3125,I considered what decision I will make in the same situation
38,25,Female,White,Non-Hispanic,1011,"I thought of how I would have responded in the situation primarily. Then, I thought of close family members and friends who fit the description of the individual and considered how they might respond."
39,55,Male,White,Non-Hispanic,2495,
40,31,Male,White,Non-Hispanic,1136,"I tried to imagine what seemed reasonable, or how a reasonable person might react ot be in that situation."
41,61,Male,White,Non-Hispanic,721,I tried to picture myself or someone I knew in a similar situation as the scenario
42,31,Male,other_race,Non-Hispanic,1552,I tried imagining what qualities another person in a similar situation would have compared to the person in question. I tried choosing the options that I think an average person would make who fit that image. 
43,41,Female,White,Non-Hispanic,1371,"I consider myself to be a reasonable person, so I based my answers on what I would/would not do.

The area where you have to scroll down to click on all the different statements could be a little easier to navigate. My computer was giving me a hard time trying to scroll (maybe just a me problem?). Also, I'd imagine some won't realize that they need to scroll down in this area. 

I did enjoy doing this study and thought it was interesting."
44,34,Female,White,Non-Hispanic,664,"I tried to judge everyone with a distanced view and ask myself if I was being biased

Survey was free of technical issue and clear in instruction"
45,30,Female,White,Hispanic,1461,Just tried to put myself in the same situation. 
46,59,Male,Black/African American,Non-Hispanic,1289,
47,39,Female,White,Non-Hispanic,1009,
48,47,Female,White,Non-Hispanic,1299,
49,38,Female,White,Non-Hispanic,1827,"No, everything was fine."
50,57,Male,White,Non-Hispanic,777,no
51,28,Female,White,Non-Hispanic,962,
52,39,Female,White,Non-Hispanic,788,I just thought of what other people would do. Some seemed a little far fetched
53,21,Female,White,Hispanic,1276,"I considered whether the options presented for how a reasonable person would respond were characteristics the character could change and control, such as their actions "
54,57,Male,White,Non-Hispanic,1124,It usually had to do with how cautious or reckless the person was
